match_id,date,stage,team1,team2,goals1,goals2,source,source_row,shootout,yellow1,yellow2,red1,red2,corners1,corners2,xg1,xg2,shots1,shots2,sot1,sot2,fouls1,fouls2,total_goals,total_shots,total_yellow,total_corners,min,max,rank_gap,split
WC26_077,2026-06-30,ROUND OF 32,Côte d'Ivoire,Norway,1,2,TSDL,83.0,False,0,1,0,0,14,3,1.49,1.9,14,9,5,4,6,7,3,23,1,17,31,33,2,train
WC26_078,2026-06-30,ROUND OF 32,France,Sweden,3,0,TSDL,84.0,False,0,0,0,0,9,1,3.24,0.7,25,8,12,3,14,10,3,33,0,10,3,38,35,train
WC26_079,2026-06-30,ROUND OF 32,Mexico,Ecuador,2,0,TSDL,85.0,False,0,3,0,1,3,8,1.05,0.75,15,7,3,1,10,14,2,22,3,11,14,23,9,test
WC26_080,2026-07-01,ROUND OF 32,Belgium,Senegal,3,2,TSDL,87.0,False,1,1,0,0,4,2,1.74,3.58,19,19,5,5,22,12,5,38,2,6,9,15,6,train
WC26_081,2026-07-01,ROUND OF 32,England,Congo DR,2,1,TSDL,86.0,False,1,1,0,0,5,3,2.16,0.77,16,7,7,2,10,12,3,23,2,8,4,46,42,test
WC26_082,2026-07-01,ROUND OF 32,USA,Bosnia and Herzegovina,2,0,TSDL,88.0,False,0,1,1,0,4,3,0.88,0.25,8,10,2,3,7,13,2,18,1,7,17,64,47,train
WC26_083,2026-07-02,ROUND OF 32,Portugal,Croatia,2,1,TSDL,90.0,False,1,2,0,0,9,5,2.2,1.34,15,13,3,6,6,12,3,28,3,14,5,11,6,train
WC26_084,2026-07-02,ROUND OF 32,Spain,Austria,3,0,TSDL,89.0,False,0,1,0,0,9,0,2.8,0.32,23,5,10,0,8,15,3,28,1,9,2,24,22,train
WC26_085,2026-07-02,ROUND OF 32,Switzerland,Algeria,2,0,TSDL,91.0,False,0,2,0,0,4,2,2.52,0.73,11,8,5,2,10,12,2,19,2,6,19,28,9,train
WC26_086,2026-07-03,ROUND OF 32,Argentina,Cabo Verde,3,2,TSDL,93.0,False,1,1,0,0,8,8,2.26,0.47,22,16,10,5,13,12,5,38,2,16,1,67,66,train
WC26_087,2026-07-03,ROUND OF 32,Australia,Egypt,1,1,TSDL,92.0,True,0,2,0,0,4,7,0.84,1.32,16,14,1,3,12,14,2,30,2,11,27,29,2,train
WC26_088,2026-07-03,ROUND OF 32,Colombia,Ghana,1,0,TSDL,94.0,False,2,3,0,0,3,2,2.04,0.27,20,8,8,0,14,10,1,28,5,5,13,73,60,train
WC26_089,2026-07-04,ROUND OF 16,Canada,Morocco,0,3,TSDL,98.0,False,4,4,0,0,11,1,0.84,0.82,10,5,3,4,24,14,3,15,8,12,7,30,23,train
WC26_090,2026-07-04,ROUND OF 16,Paraguay,France,0,1,TSDL,99.0,False,0,3,0,0,2,12,0.13,1.45,5,15,0,5,13,11,1,20,3,14,3,41,38,test
WC26_091,2026-07-05,ROUND OF 16,Brazil,Norway,1,2,TSDL,100.0,False,1,0,0,0,5,5,2.61,1.05,14,9,4,5,7,6,3,23,1,10,6,31,25,train
WC26_092,2026-07-05,ROUND OF 16,Mexico,England,2,3,TSDL,101.0,False,2,3,0,1,12,2,1.88,1.61,20,6,5,5,14,7,5,26,5,14,4,14,10,train
WC26_093,2026-07-06,ROUND OF 16,Portugal,Spain,0,1,TSDL,102.0,False,2,1,0,0,3,7,0.63,1.69,10,15,2,6,9,13,1,25,3,10,2,5,3,test
WC26_094,2026-07-06,ROUND OF 16,USA,Belgium,1,4,TSDL,103.0,False,2,0,0,0,3,5,0.63,2.01,7,15,2,7,11,9,5,22,2,8,9,17,8,test
WC26_095,2026-07-07,ROUND OF 16,Argentina,Egypt,3,2,TSDL,104.0,False,0,3,0,0,6,1,2.84,0.89,19,5,7,2,13,11,5,24,3,7,1,29,28,test
WC26_096,2026-07-07,ROUND OF 16,Switzerland,Colombia,0,0,TSDL,105.0,True,3,2,0,0,3,7,0.39,1.09,7,15,2,3,22,21,0,22,5,10,13,19,6,train
WC26_097,2026-07-09,QUARTER FINALS,France,Morocco,2,0,TSDL,109.0,False,0,1,0,0,5,5,3.69,0.14,22,5,8,1,10,13,2,27,1,10,3,7,4,train
WC26_098,2026-07-10,QUARTER FINALS,Spain,Belgium,2,1,TSDL,110.0,False,2,2,0,0,5,1,2.1,0.37,17,5,8,2,13,18,3,22,4,6,2,9,7,train
WC26_099,2026-07-11,QUARTER FINALS,Argentina,Switzerland,3,1,TSDL,112.0,False,3,2,0,1,8,2,1.94,0.47,22,11,7,5,14,18,4,33,5,10,1,19,18,test
WC26_100,2026-07-11,QUARTER FINALS,Norway,England,1,2,TSDL,111.0,False,1,0,0,0,7,4,0.68,1.04,13,14,4,8,10,8,3,27,1,11,4,31,27,train
WC26_101,2026-07-14,SEMI FINALS,France,Spain,0,2,TSDL,116.0,False,2,1,0,0,7,1,0.3,1.63,10,10,3,2,11,12,2,20,3,8,2,3,1,train
WC26_102,2026-07-15,SEMI FINALS,England,Argentina,1,2,TSDL,117.0,False,1,3,0,0,1,6,0.53,1.84,5,15,2,5,11,15,3,20,4,7,1,4,3,train
WC26_103,2026-07-18,BRONZE FINAL,France,England,4,6,FIFA,,False,0,0,0,0,3,4,,,19,19,9,11,14,8,10,38,0,7,3,4,1,train
WC26_104,2026-07-19,FINAL,Spain,Argentina,1,0,TSDL,121.0,False,0,5,0,1,9,4,2.29,0.22,20,2,12,0,21,25,1,22,5,13,1,2,1,train
